Município,Codigo_IBGE,Gentílico,Prefeito,Área Territorial,População Estimada,Densidade Demográfica,Escolarização 6 a 14 anos,IDHM,Mortalidade Infantil,Receitas Realizadas,Despesas empenhadas,PIB per capita
ABADIA DOS DOURADOS,3100104,abadiense,WANDERLEI LEMES SANTOS,880.461,7022,7.61,98.3,689,35.71,2189489576,1879352389,1835348
ABAETÉ,3100203,abaetense,IVANIR DELADIER DA COSTA,1.817.067,23263,12.49,99.8,698,8.44,4522032463,4077421946,2128643
ABRE CAMPO,3100302,abre-campense,VITOR HENRIQUE MOREIRA FERREIRA DE OLIVEIRA,470.551,13434,28.29,97.4,654,12.35,321001209,2957756666,1393886
ACAIACA,3100401,acaiaquense,LUIZ CARLOS FAUSTINO,101.886,3995,38.47,96,630,19.23,1407255633,1244528291,1108084
AÇUCENA,3100500,açucenense,RAULISSON MORAIS,815.422,9270,12.60,96.7,610,-,1947767359,1951335699,1054016
ÁGUA BOA,3100609,água-boense,ORLANDO CARDOSO PEREIRA,1.320.344,13319,11.51,92.9,576,12.9,2953864432,2774567559,1018174
ÁGUA COMPRIDA,3100708,água-compridense,ALEXANDRE DE ALMEIDA SILVA,492.167,1986,4.11,95.2,675,-,1844225605,1612210615,6598380
AGUANIL,3100807,aguanilense,JOSE MARCIO DE OLIVEIRA,232.091,4557,17.47,97.4,663,31.25,159318311,1401341004,1349546
ÁGUAS FORMOSAS,3100906,águas-formosense,CARLOS SOUZA,820.079,19285,22.53,96.6,645,14.71,4532403903,4081121189,1210763
ÁGUAS VERMELHAS,3101003,águas-vermelhense,NILSON FRANCISCO CAMPOS,1.256.607,13656,10.10,93.3,601,20.69,2749440686,2590567987,1616309
AIMORÉS,3101102,aimorense,MARCELO MARQUES,1.348.913,25116,18.50,96.5,684,6.33,6305528218,5629350681,1810507
AIURUOCA,3101201,aiuruocano,ERLISSON VITOR LOPES,649.680,5949,9.48,99.3,668,19.23,1772273165,155804714,1537806
ALAGOA,3101300,alagoense,JULIANO DINIZ DE OLIVEIRA,161.356,2657,16.79,99,649,-,1533240286,1392643236,1340207
ALBERTINA,3101409,albertinense,JOÃO PAULO FACANALI DE OLIVEIRA,58.010,3015,50.22,98.4,673,-,1506064494,1182197218,2948515
ALÉM PARAÍBA,3101508,além-paraibano,MIGUEL BELMIRO DE SOUZA JUNIOR,510.250,35438,67.30,97.6,726,12.5,8407972686,693966373,2579776
ALFENAS,3101607,alfenense,LUIZ ANTONIO DA SILVA,850.446,80973,86.75,97.8,761,11.79,26627667933,24202197518,3276264
ALFREDO VASCONCELOS,3101631,vasconcelense,MAURO CESAR DE OLIVEIRA,130.815,7052,46.44,98,675,-,1647630987,1542585726,1385597
ALMENARA,3101706,almenarense,ADEMIR COSTA GOBIRA,2.294.426,42380,16.90,97.8,642,14.16,7655745077,7520048388,1283365
ALPERCATA,3101805,alpercatense,RAFAEL AUGUSTO FRANCA OLIVEIRA MACHADO,166.972,7448,42.95,99.1,646,-,1916077414,1776852119,1064477
ALPINÓPOLIS,3101904,alpinopolense,RAFAEL HENRIQUE DA SILVA FREIRE,460.685,20059,40.66,97,725,9.66,4193567362,3922414842,1804835
ALTEROSA,3102001,alterosense,MARCELO NUNES DE SOUZA,362.010,14566,37.89,97.7,668,6.25,3283982289,2925061564,1473841
ALTO CAPARAÓ,3102050,alto caparoense,JOSÉ JACOMEL JÚNIOR,103.690,5938,51.08,98.5,661,-,1746233578,1332227155,1168566
ALTO RIO DOCE,3102100,alto-rio-docense,VICTOR DE PAIVA LOPES,518.053,10723,23.47,95.9,620,-,2303323624,2204862641,1521163
ALVARENGA,3102209,alvarenguense,DIOCÉLIO FERNANDO RIBEIRO,278.175,3783,15.98,96.9,592,-,1503793322,1360894818,973345
ALVINÓPOLIS,3102308,alvinopolense,MAUROSAN GONÇALVES MACHADO,599.443,15135,25.46,97.3,676,7.3,3576776561,3047315103,1774125
ALVORADA DE MINAS,3102407,alvoradense,VALTER ANTONIO COSTA,374.008,3605,9.48,94.6,572,69.77,224648569,1863331791,1316594
AMPARO DO SERRA,3102506,serrense,JOSÉ EDUARDO BARBOSA COUTO,136.186,4643,34.63,98.6,641,-,1484141913,1340700528,967200
ANDRADAS,3102605,andradense,MARGOT NAVARRO GRAZIANI PIOLI,469.396,41704,79.40,96.7,734,14.96,9684177636,819765091,2169012
CACHOEIRA DE PAJEÚ,3102704,cachoeirense,GERALDO DUARTE DE SOUSA,695.672,9470,12.88,97.3,578,33.33,2117147983,1971258058,1043783
ANDRELÂNDIA,3102803,andrelandense,FRANCISCO CARLOS RIVELLI,1.005.285,12189,12.11,98.2,700,7.41,2970132649,2617748661,1902980
ANGELÂNDIA,3102852,angelandense,JOÃO PAULO BATISTA DE SOUZA,185.211,8594,43.21,98.3,597,-,2047082228,191371073,1026895
ANTÔNIO CARLOS,3102902,antônio-carlense,RAIMUNDO NONATO MARQUES,529.915,11471,20.97,98,683,-,2343263671,2157797754,1433000
ANTÔNIO DIAS,3103009,antônio-diense,BENEDITO DE ASSIS LIMA,787.061,9233,12.15,98.2,645,17.7,3018149052,2551947049,2663674
ANTÔNIO PRADO DE MINAS,3103108,pradense-de-minas,WELISON SIMA  DA FONSECA,83.802,1577,19.94,99.1,684,-,1186110736,1074601602,1444395
ARAÇAÍ,3103207,araçaiense,MARCIO GONZAGA DIAS DE OLIVEIRA,187.538,2360,12.02,98.9,695,-,1381727194,1194460722,2370457
ARACITABA,3103306,aracitabense,TEREZINHA MARCÍLIA DO AMARAL TOLEDO,106.608,2056,19.30,97,661,41.67,1226178094,1016969908,1202150
ARAÇUAÍ,3103405,araçuaiense,TADEU BARBOSA DE OLIVEIRA,2.236.279,36715,16.10,97.5,663,13.09,6220352899,5656295885,1096647
ARAGUARI,3103504,araguarino,RENATO CARVALHO FERNANDES,2.729.777,118361,40.23,97.8,773,11.37,35329617541,32111149012,3994234
ARANTINA,3103603,arantinense,EDIMAR LUIS DE OLIVEIRA,89.420,2779,31.57,98.6,697,-,1380979363,1172355009,1757768
ARAPONGA,3103702,araponguense,LUIZ HENRIQUE MACEDO TEIXEIRA,303.793,8467,26.83,95,536,9.71,2139363143,1763523941,959267
ARAPORÃ,3103751,araporense,RENATA CRISTINA SILVA BORGES,294.354,6992,20.77,99.3,708,15.5,7371116208,5638033228,18900959
ARAPUÁ,3103801,arapuaense,JOAO BATISTA TERTO DA CUNHA,173.894,2836,15.96,98.3,724,-,1461227368,1205213723,3998173
ARAÚJOS,3103900,araujense,GERALDO MAGELA DA SILVA,245.522,9523,32.11,95.6,698,8,2217560343,188252522,3333817
ARAXÁ,3104007,araxaense,RUBENS MAGELA DA SILVA,1.164.062,108403,80.45,97.1,772,12.14,39869825624,33153824895,5877485
ARCEBURGO,3104106,arceburguense,GILSON PEREIRA DE MELLO,162.875,10990,58.38,98.7,683,-,3378375198,2835742739,2718578
ARCOS,3104205,arcoense,CLAUDENIR JOSÉ DE MELO,509.873,40658,71.78,98.4,749,7.66,10698503099,955649004,3194572
AREADO,3104304,areadense,DOUGLAS ÁVILA MOREIRA,283.124,15288,48.50,98.2,727,14.29,3121374703,2922735876,1538332
ARGIRITA,3104403,argiritense,ALEX ANDRADE ANZOLIN,159.378,2681,18.20,96.4,643,29.41,1389535026,1292354467,1203676
ARICANDUVA,3104452,aricanduvense ou aricanduvano,VALDEIR SANTOS COIMBRA,243.329,5305,19.60,98.1,582,-,1526028627,1438305586,995681
ARINOS,3104502,arinense,MARCÍLIO ÁLISSON FONSECA DE ALMEIDA,5.279.419,17850,3.35,96.6,656,16.48,4008415402,3721005573,1222279
ASTOLFO DUTRA,3104601,astolfo-dutrense,BRUNO RIBEIRO,158.891,14358,82.13,98.6,694,7.14,3296121133,2883708248,1889837
ATALÉIA,3104700,ataleiense,GILSON BOTELHO BASTOS,1.836.925,12496,7.87,96.7,588,16.13,2805208998,2523583958,968969
AUGUSTO DE LIMA,3104809,augusto-limense,FABIANO HENRIQUE DOS PASSOS,1.254.832,4833,3.95,99,656,-,1655279648,1541137557,1458154
BAEPENDI,3104908,baependiano,DOUGLAS STADUTO SOUZA,750.554,19249,24.39,96,681,9.43,4816606752,3936811332,1438508
BALDIM,3105004,baldinense,FABRICIO ANDRADE MAGALHÃES,556.266,7780,14.23,96.5,671,13.51,1914793219,1689999704,1433264
BAMBUÍ,3105103,bambuiense,OLIVIO JOSÉ TEIXEIRA,1.455.819,23964,15.62,98.6,741,8.55,5921390451,5326285261,2276291
BANDEIRA,3105202,bandeirense,SIDNEI ALVES DOS SANTOS,483.789,4738,10.31,98.7,599,25.64,1699514495,1698431734,899848
BANDEIRA DO SUL,3105301,bandeirante-do-sul,EDERVAN LEANDRO DE FREITAS,47.266,5808,113.41,96.7,692,13.7,1673733493,1403900812,1275446
BARÃO DE COCAIS,3105400,cocaiense,DÉCIO GERALDO DOS SANTOS,340.140,33232,83.51,98.9,722,22.44,8423986062,8161723564,2508936
